Date,Year,Month,Day,Quarter,Week,DayOfWeek,DayName,MonthName,IsWeekend
2021-01-04 06:29:29.604034,2021,1,4,1,1,0,Monday,January,False
2021-01-05 06:29:29.604034,2021,1,5,1,1,1,Tuesday,January,False
2021-01-06 06:29:29.604034,2021,1,6,1,1,2,Wednesday,January,False
2021-01-07 06:29:29.604034,2021,1,7,1,1,3,Thursday,January,False
2021-01-08 06:29:29.604034,2021,1,8,1,1,4,Friday,January,False
2021-01-09 06:29:29.604034,2021,1,9,1,1,5,Saturday,January,True
2021-01-10 06:29:29.604034,2021,1,10,1,1,6,Sunday,January,True
2021-01-11 06:29:29.604034,2021,1,11,1,2,0,Monday,January,False
2021-01-12 06:29:29.604034,2021,1,12,1,2,1,Tuesday,January,False
2021-01-13 06:29:29.604034,2021,1,13,1,2,2,Wednesday,January,False
2021-01-14 06:29:29.604034,2021,1,14,1,2,3,Thursday,January,False
2021-01-15 06:29:29.604034,2021,1,15,1,2,4,Friday,January,False
2021-01-16 06:29:29.604034,2021,1,16,1,2,5,Saturday,January,True
2021-01-17 06:29:29.604034,2021,1,17,1,2,6,Sunday,January,True
2021-01-18 06:29:29.604034,2021,1,18,1,3,0,Monday,January,False
2021-01-19 06:29:29.604034,2021,1,19,1,3,1,Tuesday,January,False
2021-01-20 06:29:29.604034,2021,1,20,1,3,2,Wednesday,January,False
2021-01-21 06:29:29.604034,2021,1,21,1,3,3,Thursday,January,False
2021-01-22 06:29:29.604034,2021,1,22,1,3,4,Friday,January,False
2021-01-23 06:29:29.604034,2021,1,23,1,3,5,Saturday,January,True
2021-01-24 06:29:29.604034,2021,1,24,1,3,6,Sunday,January,True
2021-01-25 06:29:29.604034,2021,1,25,1,4,0,Monday,January,False
2021-01-26 06:29:29.604034,2021,1,26,1,4,1,Tuesday,January,False
2021-01-27 06:29:29.604034,2021,1,27,1,4,2,Wednesday,January,False
2021-01-28 06:29:29.604034,2021,1,28,1,4,3,Thursday,January,False
2021-01-29 06:29:29.604034,2021,1,29,1,4,4,Friday,January,False
2021-01-30 06:29:29.604034,2021,1,30,1,4,5,Saturday,January,True
2021-01-31 06:29:29.604034,2021,1,31,1,4,6,Sunday,January,True
2021-02-01 06:29:29.604034,2021,2,1,1,5,0,Monday,February,False
2021-02-02 06:29:29.604034,2021,2,2,1,5,1,Tuesday,February,False
2021-02-03 06:29:29.604034,2021,2,3,1,5,2,Wednesday,February,False
2021-02-04 06:29:29.604034,2021,2,4,1,5,3,Thursday,February,False
2021-02-05 06:29:29.604034,2021,2,5,1,5,4,Friday,February,False
2021-02-06 06:29:29.604034,2021,2,6,1,5,5,Saturday,February,True
2021-02-07 06:29:29.604034,2021,2,7,1,5,6,Sunday,February,True
2021-02-08 06:29:29.604034,2021,2,8,1,6,0,Monday,February,False
2021-02-09 06:29:29.604034,2021,2,9,1,6,1,Tuesday,February,False
2021-02-10 06:29:29.604034,2021,2,10,1,6,2,Wednesday,February,False
2021-02-11 06:29:29.604034,2021,2,11,1,6,3,Thursday,February,False
2021-02-12 06:29:29.604034,2021,2,12,1,6,4,Friday,February,False
2021-02-13 06:29:29.604034,2021,2,13,1,6,5,Saturday,February,True
2021-02-14 06:29:29.604034,2021,2,14,1,6,6,Sunday,February,True
2021-02-15 06:29:29.604034,2021,2,15,1,7,0,Monday,February,False
2021-02-16 06:29:29.604034,2021,2,16,1,7,1,Tuesday,February,False
2021-02-17 06:29:29.604034,2021,2,17,1,7,2,Wednesday,February,False
2021-02-18 06:29:29.604034,2021,2,18,1,7,3,Thursday,February,False
2021-02-19 06:29:29.604034,2021,2,19,1,7,4,Friday,February,False
2021-02-20 06:29:29.604034,2021,2,20,1,7,5,Saturday,February,True
2021-02-21 06:29:29.604034,2021,2,21,1,7,6,Sunday,February,True
2021-02-22 06:29:29.604034,2021,2,22,1,8,0,Monday,February,False
2021-02-23 06:29:29.604034,2021,2,23,1,8,1,Tuesday,February,False
2021-02-24 06:29:29.604034,2021,2,24,1,8,2,Wednesday,February,False
2021-02-25 06:29:29.604034,2021,2,25,1,8,3,Thursday,February,False
2021-02-26 06:29:29.604034,2021,2,26,1,8,4,Friday,February,False
2021-02-27 06:29:29.604034,2021,2,27,1,8,5,Saturday,February,True
2021-02-28 06:29:29.604034,2021,2,28,1,8,6,Sunday,February,True
2021-03-01 06:29:29.604034,2021,3,1,1,9,0,Monday,March,False
2021-03-02 06:29:29.604034,2021,3,2,1,9,1,Tuesday,March,False
2021-03-03 06:29:29.604034,2021,3,3,1,9,2,Wednesday,March,False
2021-03-04 06:29:29.604034,2021,3,4,1,9,3,Thursday,March,False
2021-03-05 06:29:29.604034,2021,3,5,1,9,4,Friday,March,False
2021-03-06 06:29:29.604034,2021,3,6,1,9,5,Saturday,March,True
2021-03-07 06:29:29.604034,2021,3,7,1,9,6,Sunday,March,True
2021-03-08 06:29:29.604034,2021,3,8,1,10,0,Monday,March,False
2021-03-09 06:29:29.604034,2021,3,9,1,10,1,Tuesday,March,False
2021-03-10 06:29:29.604034,2021,3,10,1,10,2,Wednesday,March,False
2021-03-11 06:29:29.604034,2021,3,11,1,10,3,Thursday,March,False
2021-03-12 06:29:29.604034,2021,3,12,1,10,4,Friday,March,False
2021-03-13 06:29:29.604034,2021,3,13,1,10,5,Saturday,March,True
2021-03-14 06:29:29.604034,2021,3,14,1,10,6,Sunday,March,True
2021-03-15 06:29:29.604034,2021,3,15,1,11,0,Monday,March,False
2021-03-16 06:29:29.604034,2021,3,16,1,11,1,Tuesday,March,False
2021-03-17 06:29:29.604034,2021,3,17,1,11,2,Wednesday,March,False
2021-03-18 06:29:29.604034,2021,3,18,1,11,3,Thursday,March,False
2021-03-19 06:29:29.604034,2021,3,19,1,11,4,Friday,March,False
2021-03-20 06:29:29.604034,2021,3,20,1,11,5,Saturday,March,True
2021-03-21 06:29:29.604034,2021,3,21,1,11,6,Sunday,March,True
2021-03-22 06:29:29.604034,2021,3,22,1,12,0,Monday,March,False
2021-03-23 06:29:29.604034,2021,3,23,1,12,1,Tuesday,March,False
2021-03-24 06:29:29.604034,2021,3,24,1,12,2,Wednesday,March,False
2021-03-25 06:29:29.604034,2021,3,25,1,12,3,Thursday,March,False
2021-03-26 06:29:29.604034,2021,3,26,1,12,4,Friday,March,False
2021-03-27 06:29:29.604034,2021,3,27,1,12,5,Saturday,March,True
2021-03-28 06:29:29.604034,2021,3,28,1,12,6,Sunday,March,True
2021-03-29 06:29:29.604034,2021,3,29,1,13,0,Monday,March,False
2021-03-30 06:29:29.604034,2021,3,30,1,13,1,Tuesday,March,False
2021-03-31 06:29:29.604034,2021,3,31,1,13,2,Wednesday,March,False
2021-04-01 06:29:29.604034,2021,4,1,2,13,3,Thursday,April,False
2021-04-02 06:29:29.604034,2021,4,2,2,13,4,Friday,April,False
2021-04-03 06:29:29.604034,2021,4,3,2,13,5,Saturday,April,True
2021-04-04 06:29:29.604034,2021,4,4,2,13,6,Sunday,April,True
